SuccubusNo,SuccubusName,HeartLevel/Ending,Choice,ChoiceNext,DlgS,DlgJ,args
,,,,,,,
0,Warning,,,,"阅读忠告

《我的可爱妻子》的某些场景和图像涉及身心虐待、情感操纵和家庭暴力等元素，可能会导致部分读者感到不适。

请读者谨慎判断是否游玩。",,
1,Berith,I-1,,,比利士,,
,,,,,根本没有什么改变嘛，哼。,,
,,,,,人类看起来还是一如既往的没用。,,
,,,,,,（她为什么那样看着我……）,
,,,,,你想干什么？,,
,,,,,,呃，没什么…… 我只是觉得我们应该互相了解一下……,
,,,,,和你这种凡人吗？切。,,
,,,,,你对魅魔又了解多少呢？,,
,,,1-1-A,I-2,比你所了解的多。,,
,,,,,,嗯，实际上，我想多了解你一些。,
,,,,,真是厚颜无耻。,,
,,,,,你可要搞清楚，我不是来陪你玩的。,,
,,,,,咱们速战速决吧。我还有其他更重要的事情要做。,,
,,,,,,我…… 我觉得这种事不能操之过急……,
,,,,,啧啧，太慢了。,,
,,,1-1-B,II-4,我不确定。,,
,,,,,,我…… 我也不是很清楚。,
,,,,,,我只知道魅魔分成很多种……,
,,,,,,还有你们都很有魅力。,
,,,,,那是什么？,,
,,,,,,……？,
,,,,,你这个无礼的……,,
,,,,,别把我和其他低等的魅魔混为一谈！,,
,,,,,,（她为什么这么生气？）,
,,I-2,,,,,
,,,,,啊，是你。,,
,,,,,你忙完了？,,
,,,,,,还没……,
,,,,,呃，真麻烦。,,
,,,,,我只想快点回家。我得族人还在等我。,,
,,,1-2-A,,你的族人？,,
,,,,,,你的意思是还有很多其他和你一样的魅魔吗？,
,,,,,她们也许不如我完美，但是，我的族人永远是最棒的。,,
,,,,,我得意思是，我们最受恶魔女王青睐。,,
,,,1-2-A-A,II-1,恶魔女王。,,
,,,,,,恶魔女王？,
,,,,,当然，她是魅魔世界的统治者。,,
,,,,,,听起来很厉害的样子…… 看来你们很强大。,
,,,,,你这是在嘲笑我吗？我当然很强大！,,
,,,,,少在这叽叽喳喳的，不如现在来试试我的能力吧。,,
,,,,,,别…… 别啊……,
,,,,,切。,,
,,,,,,,
,,,,,,,
,,,1-2-A-B,II-3,曾经？,,
,,,,,,为什么是过去式呢？,
,,,,,……,,
,,,,,,有什么问题吗？,
,,,,,因为…… 陛下她……,,
,,,,,如果他还在的话…… 我…… 我们…… 我们不至于……,,
,,,,,我们不至于沦落到这般境地。,,
,,,,,,（我还是走吧……）,
,,,,,,,
,,,,,,,
,,,1-2-B,,回家。,,
,,,,,,你回不了家了吗？,
,,,,,哎。,,
,,,,,我讨厌聊这个，但我必须旅行我的职责。,,
,,,1-2-B-A,II-4,真是责任心爆棚。,,
,,,,,,来到人类世界，数百年，不，千百年来不断履行自己的职责……,
,,,,,可别误解我。,,
,,,,,收集人类的复生精华，是我们作为魅魔的基本功。,,
,,,,,我的族人们有着更崇高的使命。,,
,,,,,,……,
,,,,,怎么了吗？,,
,,,,,,啊，没有，我只是感到钦佩。,
,,,,,嗯……,,
,,,,,,,
,,,1-2-B-B,I-3,无法想象。,,
,,,,,,呃…… 无法想象千百年来日复一日。,
,,,,,你什么意思？,,
,,,,,,我的意思是进入人类的世界…… 然后从人类身上吸取精华……,
,,,,,你以为我们愿意吗？,,
,,,,,别把自己看得那么重要。,,
,,,,,人类身上唯一的优点…… 就是你们身上的复生精华。,,
,,,,,,这不是我想说……,
,,,,,滚开！,,
,,,,,,,
,,I-3,,,,,
,,,,,,对不起，嗯……,
,,,,,有屁快放。我可没那么多时间陪你瞎扯。,,
,,,,,,你需要什么吗？,
,,,,,,如果我能帮上忙的话……,
,,,,,呵，你以为我会上你的当？,,
,,,1-3-A,II-3,我是召唤你的人。,,
,,,,,,但是，是我把你召唤到这里的……,
,,,,,然后呢？你觉得我欠你个人情吗？,,
,,,,,识相点，笨蛋！你只不过是个猎物。,,
,,,,,当这一切都结束后，我会把你吸干然后丢到一边。,,
,,,,,,……！,
,,,,,能死在我的手上，你应该感激涕零。,,
,,,,,毕竟，你面对的可是恶魔女王最得力的部下！,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,1-3-B,II-4,你充满敌意。,,
,,,,,,其他魅魔都像你这样吗……？,
,,,,,你这是什么意思？,,
,,,,,,啊？没…… 没什么意思。,
,,,,,,我是说，这里一定有很多魅魔了……,
,,,,,那些低贱的魅魔……,,
,,,,,她们早已忘记王国最重要的事，随心所欲地过着他们的生活！,,
,,,,,她们什么也不是…… 不配和我，甚至我得同类相提并论！,,
,,,,,,（她好像没听清楚我在说什么。）,
,,II-1,,,,,
,,,,,艾格拉斯殿下……,,
,,,,,,艾格拉斯？她就是恶魔女王吗？,
,,,,,……你怎敢直呼她的名讳！,,
,,,,,,我…… 我很抱歉。她对你来说一定很重要。,
,,,,,我们从一开始就陪伴在她的身边。,,
,,,,,我们是她唯一信任的魅魔。,,
,,,,,然而其他魅魔居然敢忘了我们！,,
,,,2-1-A,II-3,不要沉溺于过去。,,
,,,,,,这只是我的个人看法，但是……,
,,,,,,我觉得你应该接受她已经不在这里的事实，开始新的生活……,
,,,,,,看到你忿忿不平的样子让人十分难受……,
,,,,,……！,,
,,,,,那是你的看法！,,
,,,,,别以为我不知道你的阴谋？！,,
,,,,,,……,
,,,,,,（我…… 和露娜……）,
,,,,,,,
,,,2-1-B,II-2,那现在该怎么办？,,
,,,,,,既然她已经不在了，你打算怎么办……？,
,,,,,她走了…… 但我还在，不是吗！？,,
,,,,,哪怕她不在，我们永远都是她最得力的部下。,,
,,,,,可新的统治者却选择了其他魅魔。,,
,,,,,,嗯，我想我能理解你为什么这么不甘心……,
,,,,,……,,
,,,,,,,
,,II-2,,,,,
,,,,,,你还好吗？,
,,,,,别表现出一副关心我的样子。,,
,,,,,,我只是有些担心……,
,,,,,担心？担心我？,,
,,,,,你应该担心担心自己。,,
,,,,,毕竟，我无所不能。,,
,,,,,我甚至可以夺回我的位置，重新成为统治者的左膀右臂。,,
,,,2-2-A,III-3,你为什么这么执着？,,
,,,,,,你为何如此执着？,
,,,,,是又怎样？,,
,,,,,被至高的统治者重用……,,
,,,,,其他魅魔也就不敢再无视我。,,
,,,,,,他们无视你了？,
,,,,,闭…… 闭嘴！,,
,,,,,,,
,,,2-2-B,III-1,我支持你。,,
,,,,,,看到你的渴望如此强烈，我觉得你配得上那个位置。,
,,,,,渴望？,,
,,,,,你要明白，我还会为此效忠。,,
,,,,,,啊…… 是的。,
,,,,,如果他们统统不存在就好了……,,
,,,,,呃…… 一想到她们我就快要疯了。,,
,,,,,,,
,,II-3,,,,,
,,,,,,我有点好奇……,
,,,,,,你和其他魅魔的关系现在怎么样了？,
,,,,,这真是个奇怪的问题……,,
,,,,,她们当然很尊敬我！,,
,,,,,她们应该尊敬我……,,
,,,,,,嗯？你听起来好像不是很确定。,
,,,,,啧啧。吵死了。,,
,,,,,我曾是恶魔女王的左膀右臂！她们怎么敢不尊重我！,,
,,,2-3-A,III-3,那是过去。,,
,,,,,,现在情况不一样了，是吗？,
,,,,,……,,
,,,,,,你为什么那么渴望被别人尊敬？,
,,,,,因为……！,,
,,,,,,你已经很努力了。,
,,,,,,但是…… 你有没有考虑过为自己而活，而不是别人？,
,,,,,我的人生…… 我所知道的一切都和效忠王国统治者有关。,,
,,,,,所以不要到处胡说八道……,,
,,,,,,（她有听进去我的话吗？）,
,,,,,,,
,,,2-3-B,III-1,关于其他魅魔。,,
,,,,,,那你是如何看待其他魅魔的？,
,,,,,每个人都很无知。,,
,,,,,新的统治者也一样，他…… 竟然选择信任别人……,,
,,,,,而不是我们这些陪伴了殿下一生的人。,,
,,,,,,他为什么要这么没做？,
,,,,,哼，他觉得一切都与权力有关！,,
,,,,,他还不够成熟。他和我们不一样，他对这个王国一无所知。,,
,,,,,,听起来确实令人很担忧。,
,,II-4,,,,,
,,,,,啧啧，真让我浑身不自在。,,
,,,,,,怎么了吗？,
,,,,,我逗留在这个世界太久了。,,
,,,,,而且和其他的魅魔生活在一起让我抓狂！,,
,,,,,,哦？那你的王国是什么样子的？,
,,,,,你是问我在我的世界里是怎么生活的吗？,,
,,,2-4-A,III-1,和其他人住在一起呀。,,
,,,,,,我是说，你是怎么和其他魅魔相处的？,
,,,,,呵，我们不需要和其他魅魔一起生活。,,
,,,,,我们为什么要跟她们一起生活？,,
,,,,,,我还以为所有魅魔都彼此相亲相爱呢……,
,,,,,噗，真是可笑！,,
,,,,,像我们这种魅魔只需要彼此的陪伴。,,
,,,,,我们将再次给其他魅魔好好看看，我们的能耐。,,
,,,,,,,
,,,,,,,
,,,2-4-B,III-4,她过去的生活是怎样的。,,
,,,,,,你在那里过得怎么样？,
,,,,,我很努力地工作。,,
,,,,,几千年来一直善尽我身为魅魔的本分……,,
,,,,,监视着王国的每一个角落……,,
,,,,,即使她不在了，我还是会这么做。,,
,,,,,,她是谁……？,
,,,,,当然是恶魔女王。魅魔世界的统治者。,,
,,,,,,所以，现在你们已经没有统治者了吗？,
,,,,,……就是…… 那位主人……,,
,,,,,呃，我不想谈这个。,,
,,III-1,,,,,
,,,,,那些魅魔让我头疼……,,
,,,,,,你与某人有什么过节吗？,
,,,,,厄倪俄一族……,,
,,,,,真不敢相信，阿斯莫狄斯主人抛弃了我们，却选择了她们。,,
,,,,,,（喔…… 她们王国的新统治者？）,
,,,,,呃…… 这也难怪，毕竟他凭空就夺走了艾格拉斯女王的王位。,,
,,,,,他不知道谁更适合做统治者的左膀右臂。,,
,,,,,但我会让他明白……！,,
,,,3-1-A,III-2,与厄倪俄之间的竞争关系,,
,,,,,,或许你忽略了她们的一些事情？,
,,,,,当然没有！,,
,,,,,她们唯一在行的就是使用暴力。,,
,,,,,她们根本不知道如何用脑子思考。,,
,,,,,,是这样吗……,
,,,,,怎么？你有什么意见吗？,,
,,,,,,没…… 没有。,
,,,,,,,
,,,,,,,
,,,3-1-B,III-3,我钦佩你的决心。,,
,,,,,,如我所想…… 我真的很钦佩你的决心。,
,,,,,,这让我想起了我的妻子……,
,,,,,,她工作很努力，而且……,
,,,,,……,,
,,,,,,哦…… 噢，对不起。,
,,,,,,我的意思是，你的坚定值得被认可。,
,,,,,当然，只有傻瓜才不懂我的好。,,
,,III-2,,,,,
,,,,,,你还在为厄倪俄的事生气吗？,
,,,,,我没有。,,
,,,,,,但你看起来不像没事的样子。,
,,,,,呃…… 你还是这么烦人。,,
,,,,,其实我对她们并非怀恨在心。,,
,,,,,,你只是不能接受阿斯莫狄斯没有选择你的事实，对吗？,
,,,,,……！闭上你的臭嘴！,,
,,,3-2-A,EA,开心点。,,
,,,,,,对不起，我一时没忍住……,
,,,,,,但听到你并没有怀恨在心，让我松了一口气。,
,,,,,,你很强大，你所做的事情也都很了不起。,
,,,,,干…… 干嘛，你这是在奉承巴结我吗？,,
,,,,,,当…… 当然不是……,
,,,,,,这么说吧，如果你只是为了寻求他人认可而活，那可真是不值得。,
,,,,,,为了自己而活，你会开心许多。,
,,,,,……厚颜无耻的人类。,,
,,,,,,,
,,,,,,,
,,,3-2-B,EB,要是我，我会选你。,,
,,,,,,对…… 对不起。我想说的是……,
,,,,,,阿斯莫狄斯没有看到你的优点，真可惜。,
,,,,,,我要是他，肯定会选你。,
,,,,,我知道。,,
,,,,,,我是说真的，你很坚强，也很勤奋，是个努力工作的人。,
,,,,,,（……就像我的露娜一样。）,
,,,,,嗯哼。看来你没我想的那么愚蠢。,,
,,III-3,,,,,
,,,,,说一说怎么回事吧。,,
,,,,,,我在想…… 为什么恶魔女王会选你当她的左右手？,
,,,,,你这话什么意思？,,
,,,,,,我…… 我的意思是，新的统治者竟然没有选你，这很奇怪。,
,,,,,呿，你为什么不一开始就这样说呢。,,
,,,,,我们是最早出现的魅魔。,,
,,,,,我们知道关于恶魔王国和魅魔的一切。,,
,,,,,所以女王殿下自然会信任我们，让我们帮她处理事务。,,
,,,3-3-A,EA,像艾格瑞斯一样。,,
,,,,,,能成为魅魔女王…… 她一定很完美。,
,,,,,她又聪明又有权势，没有人敢违抗她。,,
,,,,,,我看得出来你对自己的地位非常自豪，但是……,
,,,,,赶紧说，别让我失去耐心。,,
,,,,,,你本身就已经很了不起了。,
,,,,,,但是你为什么不能像艾格瑞斯一样做自己呢？,
,,,,,,你可以寻找自己的目标，不需要理会别人怎么想。,
,,,,,,那样的话，你会不会感到更满足？,
,,,,,……！,,
,,,,,,,
,,,,,,,
,,,3-3-B,EB,言之有理。,,
,,,,,,毕竟你侍奉她够久了，不是吗？,
,,,,,没错。,,
,,,,,,你的无私奉献真的很了不起……,
,,,,,,我喜欢像你这样的女人。,
,,,,,你眼光不错。,,
,,,,,这样吧，你干脆就成为我的追随者吧？,,
,,,,,,追…… 追随者……？,
,,,,,那样的话，你就可以一辈子侍奉我了。,,
,,,,,这就是你想要的，对吗？,,
,,III-4,,,,,
,,,,,……你又来了。,,
,,,,,,我…… 我不是要故意打断你的……,
,,,,,你就像他一样，凭空就出现了。,,
,,,,,,他？,
,,,,,阿斯莫狄斯主人……,,
,,,,,,主人…… 我记得我们之前讨论过他。,
,,,,,向他证明自己…… 那是多久以前的事情了……,,
,,,,,但我是不会放弃的，为了我的族人。,,
,,,3-4-A,EB,你让我想起了她。,,
,,,,,,你知道吗，你让我想起了她……,
,,,,,你竟敢拿我和人类相比？！,,
,,,,,,不…… 不是这样的……,
,,,,,,我想说的是，你的决心令人敬佩。,
,,,,,哼。,,
,,,,,你想干嘛？现在可别说你喜欢我这种肉麻的话。,,
,,,,,,……嗯？当然不会…… 我是有妻子的人……,
,,,,,死去的妻子。,,
,,,,,,……,
,,,,,,,
,,,3-4-B,III-1,你想证明什么？,,
,,,,,,听起来就很幸苦……,
,,,,,,你到底想向他证明什么？,
,,,,,证明我比她们强……,,
,,,,,,她们……？,
,,,,,一想到她们，我就觉得恶心。,,
,,,,,,哦，好吧，我不会逼你谈这个……,
,,,,,明智的决定。,,
,,,,,不如我们谈谈我有多优秀吧。,,
,,,,,,（饶了我吧。）,
,,,,,,,
,,EA,,,抛弃自尊对比利士来说是一种解放。,,
,,,,,她现在很开心，因为她不再害怕偏见。,,
,,,,,她被那个帮她找到目标的男人所打动。,,
,,,,,这是杰克，正快乐地和他的新妻子比利士在一起。,,
,,EB,,,杰克从比利士的身上看到了努力工作的露娜的影子。,,
,,,,,经过他自己的深思熟虑，他认为比利士是替代露娜的不二人选。,,
,,,,,但是她并不是杰克所期待的那种女人。,,
,,,,,她只想操控杰克的人生。,,
,,,,,,,
2,Kalys,,,,卡利斯,,
,,I-1,,,,,
,,,,,……,,
,,,,,,你还好吗？,
,,,,,啊，嗯…… 还好……,,
,,,,,,你看起来闷闷不乐的……,
,,,,,只是我的脸…… 抱歉……,,
,,,1-1-A,I-2,你的脸没什么问题。,,
,,,,,,你的脸很正常。,
,,,,,别…… 别老是盯着我看……,,
